Feature name,Feature value,ReSPOND.min,ReSPOND.mean,ReSPOND.med,ReSPOND.max,Flag
Size_NC,,0,12050.5133,6981,140161, 
Size_ET,,0,23316.37462,18859,143057, 
Dist2Vent,,0,4.532067795,1.191890717,35.37212753, 
ED*100./(NC+ET),,0,423.7491611,188.6084109,118898.1132, 
ED*100./(NC+ET+ED),,0,62.59950247,65.35097516,99.91596505, 
ET*100./BS,,0,1.591563171,1.289836964,8.39992159, 
NC*100./BS,,0,0.817516368,0.474361976,11.97820079, 
ED*100./BS,,0,4.118191855,3.614857701,17.80503561, 
(NC+ET)*100./BS,,0.007233048,2.409079539,1.928902349,16.33718873, 
(NC+ET+ED)*100./BS,,0.02624216,6.527271394,6.16678366,21.39598042, 
(NC+ET)./(NC+ET+ED),,0.000840349,0.374004975,0.346490248,1, 
Number,,1,1.345399041,1,9, 
Extent,,0.057137509,0.37910086,0.386650998,0.594522019, 
AxisLength,,15.87380322,105.279734,106.2773074,202.3187653, 
AxisRatio,,2.085374351,2.979922041,2.830533045,7.549256132, 
 Left,,0,7276.512865,1873,95846, 
SSD_mean,,36,384.943506,382.5665579,688.2509448, 
SSD_min,,1,176.1291625,187.5,468.3333333, 
SSD_median,,36,384.1726484,381.3793103,740,
